firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_year
Linus,Pauling,US,US,Male,1962.0,peace,1.0,California Institute of Technology (Caltech),Pasadena CA,USA,1901.0
Linus,Pauling,US,US,MALE,1954.0,chemistry,1.0,California Institute of Technology (Caltech),Pasadena CA,USA,1901.0
Vincent,du Vigneaud,US,US,MALE,1955.0,chemistry,1.0,Cornell University,Ithaca NY,USA,1901.0
Sir Cyril,Hinshelwood,GB,GB,male,1956.0,chemistry,2.0,University of Oxford,Oxford,United Kingdom,1897.0
Nikolay,Semenov,RU,RU,male,1956.0,chemistry,2.0,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),1896.0
Lord,Todd,GB,GB,Male,1957.0,chemistry,1.0,University of Cambridge,Cambridge,United Kingdom,1907.0
Frederick,Sanger,GB,GB,MALE,1958.0,chemistry,1.0,University of Cambridge,Cambridge,United Kingdom,1918.0
Frederick,Sanger,GB,GB,Male,1980.0,chemistry,4.0,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1918.0
Jaroslav,Heyrovsky,CZ,CZ,male,1959.0,chemistry,1.0,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),1890.0
Willard F.,Libby,US,US,Male,1960.0,chemistry,1.0,University of California,Los Angeles CA,USA,1908.0
Melvin,Calvin,US,US,MALE,1961.0,chemistry,1.0,University of California,Berkeley CA,USA,1911.0
Max F.,Perutz,AT,GB,male,1962.0,chemistry,2.0,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1914.0
John C.,Kendrew,GB,GB,male,1962.0,chemistry,2.0,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1917.0
Karl,Ziegler,DE,DE,male,1963.0,chemistry,2.0,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,1898.0
Giulio,Natta,IT,IT,MALE,1963.0,chemistry,2.0,Institute of Technology,Milan,Italy,1903.0
Dorothy Crowfoot,Hodgkin,EG,GB,female,1964.0,chemistry,1.0,University of Oxford Royal Society,Oxford,United Kingdom,1910.0
Robert B.,Woodward,US,US,male,1965.0,chemistry,1.0,Harvard University,Cambridge MA,USA,1917.0
Robert S.,Mulliken,US,US,male,1966.0,chemistry,1.0,University of Chicago,Chicago IL,USA,1896.0
Manfred,Eigen,DE,DE,MALE,1967.0,chemistry,2.0,Max-Planck-Institut für Physikalische Chemie,Göttingen,Germany,1927.0
Ronald G.W.,Norrish,GB,GB,male,1967.0,chemistry,4.0,Institute of Physical Chemistry,Cambridge,United Kingdom,1897.0
George,Porter,GB,GB,MALE,1967.0,chemistry,4.0,Royal Institution of Great Britain,London,United Kingdom,1920.0
Lars,Onsager,NO,US,Male,1968.0,chemistry,1.0,Yale University,New Haven CT,USA,1903.0
Derek,Barton,GB,US,male,1969.0,chemistry,2.0,Imperial College,London,United Kingdom,1918.0
Odd,Hassel,NO,NO,Male,1969.0,chemistry,2.0,University of Oslo,Oslo,Norway,1897.0
Luis,Leloir,FR,AR,MALE,1970.0,chemistry,1.0,Institute for Biochemical Research,Buenos Aires,Argentina,1906.0
Gerhard,Herzberg,DE,CA,MALE,1971.0,chemistry,1.0,National Research Council of Canada,Ottawa,Canada,1904.0
Christian,Anfinsen,US,US,male,1972.0,chemistry,2.0,National Institutes of Health,Bethesda MD,USA,1916.0
Stanford,Moore,US,US,MALE,1972.0,chemistry,4.0,Rockefeller University,New York NY,USA,1913.0
William H.,Stein,US,US,MALE,1972.0,chemistry,4.0,Rockefeller University,New York NY,USA,1911.0
Ernst Otto,Fischer,DE,DE,Male,1973.0,chemistry,2.0,Technical University,Munich,Germany,1918.0
