id,country,year,sex
767,Antigua and Barbuda,1987.0,male
768,Antigua and Barbuda,1987.0,male
769,Antigua and Barbuda,1988.0,female
770,Antigua and Barbuda,1988.0,female
771,Antigua and Barbuda,1988.0,female
772,Antigua and Barbuda,1988.0,female
773,Antigua and Barbuda,1988.0,female
774,Antigua and Barbuda,1988.0,female
775,Antigua and Barbuda,1988.0,male
776,Antigua and Barbuda,1988.0,male
777,Antigua and Barbuda,1988.0,male
778,Antigua and Barbuda,1988.0,male
779,Antigua and Barbuda,1988.0,male
780,Antigua and Barbuda,1988.0,male
781,Antigua and Barbuda,1989.0,female
782,Antigua and Barbuda,1989.0,female
783,Antigua and Barbuda,1989.0,female
784,Antigua and Barbuda,1989.0,female
785,Antigua and Barbuda,1989.0,female
786,Antigua and Barbuda,1989.0,female
787,Antigua and Barbuda,1989.0,male
788,Antigua and Barbuda,1989.0,male
789,Antigua and Barbuda,1989.0,male
790,Antigua and Barbuda,1989.0,male
791,Antigua and Barbuda,1989.0,male
792,Antigua and Barbuda,1989.0,male
793,Antigua and Barbuda,1990.0,female
794,Antigua and Barbuda,1990.0,female
795,Antigua and Barbuda,1990.0,female
796,Antigua and Barbuda,1990.0,female
797,Antigua and Barbuda,1990.0,female
798,Antigua and Barbuda,1990.0,female
799,Antigua and Barbuda,1990.0,male
800,Antigua and Barbuda,1990.0,male
801,Antigua and Barbuda,1990.0,male
802,Antigua and Barbuda,1990.0,male
803,Antigua and Barbuda,1990.0,male
804,Antigua and Barbuda,1990.0,male
805,Antigua and Barbuda,1990.0,male
806,Antigua and Barbuda,1991.0,female
807,Antigua and Barbuda,1991.0,female
808,Antigua and Barbuda,1991.0,female
809,Antigua and Barbuda,1991.0,female
810,Antigua and Barbuda,1991.0,female
811,Antigua and Barbuda,1991.0,female
812,Antigua and Barbuda,1991.0,male
813,Antigua and Barbuda,1991.0,male
814,Antigua and Barbuda,1991.0,male
815,Antigua and Barbuda,1991.0,male
816,Antigua and Barbuda,1991.0,male
817,Antigua and Barbuda,1991.0,male
818,Antigua and Barbuda,1992.0,female
819,Antigua and Barbuda,1992.0,female
820,Antigua and Barbuda,1992.0,female
821,Antigua and Barbuda,1992.0,female
822,Antigua and Barbuda,1992.0,female
823,Antigua and Barbuda,1992.0,female
824,Antigua and Barbuda,1992.0,male
825,Antigua and Barbuda,1992.0,male
826,Antigua and Barbuda,1992.0,male
827,Antigua and Barbuda,1992.0,male
828,Antigua and Barbuda,1992.0,male
829,Antigua and Barbuda,1992.0,male
830,Antigua and Barbuda,1993.0,female
831,Antigua and Barbuda,1993.0,female
832,Antigua and Barbuda,1993.0,female
833,Antigua and Barbuda,1993.0,female
834,Antigua and Barbuda,1993.0,female
835,Antigua and Barbuda,1993.0,female
836,Antigua and Barbuda,1993.0,male
837,Antigua and Barbuda,1993.0,male
838,Antigua and Barbuda,1993.0,male
839,Antigua and Barbuda,1993.0,male
840,Antigua and Barbuda,1993.0,male
841,Antigua and Barbuda,1993.0,male
842,Antigua and Barbuda,1994.0,female
843,Antigua and Barbuda,1994.0,female
844,Antigua and Barbuda,1994.0,female
845,Antigua and Barbuda,1994.0,female
846,Antigua and Barbuda,1994.0,female
847,Antigua and Barbuda,1994.0,female
848,Antigua and Barbuda,1994.0,male
849,Antigua and Barbuda,1994.0,male
