id,country,year
515,Anguilla,1994.1
516,Anguilla,1994.1
517,Anguilla,1995.1
518,Anguilla,1995.1
519,Anguilla,1995.1
520,Anguilla,1995.1
521,Anguilla,1995.1
522,Anguilla,1995.1
523,Anguilla,1995.1
524,Anguilla,1995.1
525,Anguilla,1995.1
526,Anguilla,1995.1
527,Anguilla,1995.1
528,Anguilla,1995.1
529,Anguilla,2000.1
530,Anguilla,2000.1
531,Anguilla,2000.1
532,Anguilla,2000.1
533,Anguilla,2000.1
534,Anguilla,2000.1
535,Anguilla,2000.1
536,Anguilla,2000.1
537,Anguilla,2000.1
538,Anguilla,2000.1
539,Anguilla,2000.1
540,Anguilla,2000.1
541,Anguilla,2001.1
542,Anguilla,2001.1
543,Anguilla,2001.1
544,Anguilla,2001.1
545,Anguilla,2001.1
546,Anguilla,2001.1
547,Anguilla,2001.1
548,Anguilla,2001.1
549,Anguilla,2001.1
550,Anguilla,2001.1
551,Anguilla,2001.1
552,Anguilla,2001.1
553,Anguilla,2002.1
554,Anguilla,2002.1
555,Anguilla,2002.1
556,Anguilla,2002.1
557,Anguilla,2002.1
558,Anguilla,2002.1
559,Anguilla,2002.1
560,Anguilla,2002.1
561,Anguilla,2002.1
562,Anguilla,2002.1
563,Anguilla,2002.1
564,Anguilla,2002.1
565,Anguilla,2003.1
566,Anguilla,2003.1
567,Anguilla,2003.1
568,Anguilla,2003.1
569,Anguilla,2003.1
570,Anguilla,2003.1
571,Anguilla,2003.1
572,Anguilla,2003.1
573,Anguilla,2003.1
574,Anguilla,2003.1
575,Anguilla,2003.1
576,Anguilla,2003.1
577,Anguilla,2004.1
578,Anguilla,2004.1
579,Anguilla,2004.1
580,Anguilla,2004.1
581,Anguilla,2004.1
582,Anguilla,2004.1
583,Anguilla,2004.1
584,Anguilla,2004.1
585,Anguilla,2004.1
586,Anguilla,2004.1
587,Anguilla,2004.1
588,Anguilla,2004.1
589,Anguilla,2005.1
590,Anguilla,2005.1
591,Anguilla,2005.1
592,Anguilla,2005.1
593,Anguilla,2005.1
594,Anguilla,2005.1
