id,age,suicides_no,population
22121,55-74 years,0.0,58858.0
22122,75+ years,0.0,7399.0
22123,15-24 years,5.0,268049.0
22124,25-34 years,21.0,640909.0
22125,35-54 years,9.0,717868.0
22126,5-14 years,0.0,220886.0
22127,55-74 years,2.0,99708.0
22128,75+ years,0.0,6348.0
22129,15-24 years,2.0,247755.0
22130,25-34 years,6.0,348503.0
22131,35-54 years,5.0,363431.0
22132,5-14 years,0.0,215473.0
22133,55-74 years,1.0,63516.0
22134,75+ years,0.0,8038.0
22135,15-24 years,5.0,283568.0
22136,25-34 years,13.0,712955.0
22137,35-54 years,14.0,780428.0
22138,5-14 years,0.0,228709.0
22139,55-74 years,1.0,110218.0
22140,75+ years,0.0,6800.0
22141,15-24 years,3.0,219634.0
22142,25-34 years,11.0,309613.0
22143,35-54 years,6.0,342583.0
22144,5-14 years,0.0,219779.0
22145,55-74 years,1.0,68187.0
22146,75+ years,0.0,8255.0
22147,15-24 years,4.0,262196.0
22148,25-34 years,14.0,635172.0
22149,35-54 years,22.0,747742.0
22150,5-14 years,0.0,231825.0
22151,55-74 years,0.0,113405.0
22152,75+ years,0.0,7263.0
22153,15-24 years,2.0,231645.0
22154,25-34 years,8.0,351659.0
22155,35-54 years,3.0,387443.0
22156,5-14 years,0.0,225440.0
